valor_frete,cidade_cliente,estado_cliente,cidade_vendedor,estado_vendedor
24.13,porto belo,SC,sao paulo,SP
24.13,moema,MG,cotia,SP
24.13,porto velho,RO,santo andre,SP
24.13,sao paulo,SP,divinopolis,MG
24.12,sao jose dos campos,SP,nova petropolis,RS
24.12,sao carlos,SP,curitiba,PR
24.12,teofilo otoni,MG,sao paulo,SP
24.12,sao luis,MA,campinas,SP
24.12,porto alegre,RS,sao paulo,SP
24.12,sao paulo,SP,s jose do rio preto,SP
24.12,feira de santana,BA,sp / sp,SP
24.12,duque de caxias,RJ,piracicaba,SP
24.12,salvador,BA,sao paulo,SP
24.12,sao paulo,SP,s jose do rio preto,SP
24.12,sao paulo,SP,s jose do rio preto,SP
24.12,campo grande,MS,santo angelo,RS
24.12,vitoria,ES,marilia,SP
24.12,santo andre,SP,s jose do rio preto,SP
24.12,salvador,BA,presidente prudente,SP
24.12,sao paulo,SP,s jose do rio preto,SP
24.12,sao paulo,SP,s jose do rio preto,SP
24.12,itaperuna,RJ,franca,SP
24.12,mogi das cruzes,SP,araraquara,SP
24.12,tres coracoes,MG,sao paulo,SP
24.12,teresina,PI,campinas,SP
24.11,sao jose,SC,guariba,SP
24.11,araxa,MG,balenario camboriu,SC
24.11,rio largo,AL,guarulhos,SP
24.11,sao paulo,SP,porto alegre,RS
24.11,barra mansa,RJ,guariba,SP
24.11,curitiba,PR,guariba,SP
24.11,vitoria,ES,guariba,SP
24.11,dom pedrito,RS,guariba,SP
24.11,porto alegre,RS,botucatu,SP
24.11,manaus,AM,sao paulo - sp,SP
24.11,brasilia,DF,guariba,SP
24.11,sao paulo,SP,araraquara,SP
24.11,belo horizonte,MG,marilia,SP
24.11,fortaleza,CE,rio de janeiro,RJ
24.11,rio de janeiro,RJ,praia grande,SP
24.11,maceio,AL,sao paulo,SP
24.11,sao joao del rei,MG,guariba,SP
24.11,rio de janeiro,RJ,porto alegre,RS
24.11,caxias do sul,RS,praia grande,SP
24.11,bage,RS,joinville,SC
24.1,taboao da serra,SP,sao bernardo do campo,SP
24.1,rio de janeiro,RJ,brasilia,DF
24.1,sao roque,SP,campo mourao,PR
24.1,aracatuba,SP,campo mourao,PR
24.1,iraquara,BA,capivari,SP
24.09,cajobi,SP,sao paulo,SP
24.09,indaiatuba,SP,curitiba,PR
24.09,porto uniao,SC,sao jose do rio preto,SP
24.09,vacaria,RS,ibitinga,SP
24.09,itabuna,BA,limeira,SP
24.09,contagem,MG,cascavel,PR
24.09,sao paulo,SP,curitiba,PR
24.09,bage,RS,petropolis,RJ
24.09,tres rios,RJ,novo hamburgo,RS
24.09,sinop,MT,limeira,SP
24.09,sao paulo,SP,curitiba,PR
24.09,porto alegre,RS,petropolis,RJ
24.08,belo horizonte,MG,serra,ES
24.08,sao paulo,SP,japira,PR
24.08,sao jose de ribamar,MA,campinas,SP
24.08,pelotas,RS,capivari,SP
24.07,belo horizonte,MG,osasco,SP
24.07,londrina,PR,sao paulo,SP
24.07,vespasiano,MG,osasco,SP
24.07,guarapari,ES,jau,SP
24.07,guarapari,ES,jau,SP
24.07,goiania,GO,rio de janeiro,RJ
24.07,goiania,GO,rio de janeiro,RJ
24.07,votorantim,SP,ribeirao preto,SP
24.07,barueri,SP,sao paulo,SP
24.07,santa maria de itabira,MG,piracicaba,SP
24.06,cabo frio,RJ,carazinho,RS
24.06,rio de janeiro,RJ,carazinho,RS
24.06,santo amaro,BA,guariba,SP
24.06,itapui,SP,cascavel,PR
24.06,ponta pora,MS,salto,SP
24.06,rio de janeiro,RJ,joinville,SC
24.06,joao pessoa,PB,contagem,MG
24.06,divinopolis,MG,uba,MG
24.06,uberlandia,MG,carazinho,RS
24.06,sao paulo,SP,sao paulo,SP
24.06,patos de minas,MG,sao jose dos pinhais,PR
24.06,pontalina,GO,sao paulo,SP
24.06,nova granada,SP,cajamar,SP
24.06,brusque,SC,foz do iguacu,PR
24.06,alegrete,RS,rio de janeiro,RJ
24.06,vitoria da conquista,BA,sao jose do rio pret,SP
24.06,malacacheta,MG,ilicinea,MG
24.06,malacacheta,MG,ilicinea,MG
24.06,ribeirao preto,SP,cajamar,SP
24.06,sao jose dos campos,SP,sorocaba,SP
24.05,mococa,SP,santa barbara d´oeste,SP
24.05,sao jose,SC,petropolis,RJ
24.05,sao paulo,SP,petropolis,RJ
24.05,marilia,SP,sao paulo,SP
24.05,betim,MG,criciuma,SC
24.05,brasilia,DF,petropolis,RJ
24.05,sao paulo,SP,lauro de freitas,BA
24.05,araraquara,SP,santa barbara d´oeste,SP
24.05,sao paulo,SP,lauro de freitas,BA
24.05,volta redonda,RJ,brusque,SC
24.05,cerquilho,SP,santa barbara d´oeste,SP
24.05,itapecerica da serra,SP,santa barbara d´oeste,SP
24.05,campinas,SP,sao paulo,SP
24.05,ribeirao preto,SP,santa barbara d´oeste,SP
24.05,rio claro,SP,sao paulo,SP
24.05,uberlandia,MG,carazinho,RS
24.05,mogi das cruzes,SP,sao paulo,SP
24.05,sao jose,SC,sao vicente,SP
24.05,sao paulo,SP,santa barbara d´oeste,SP
24.05,sao paulo,SP,brasilia,DF
24.05,teresina,PI,sao paulo,SP
24.05,itanhaem,SP,ibitinga,SP
24.05,indaiatuba,SP,sao paulo,SP
24.05,sao paulo,SP,sao paulo,SP
24.05,sao paulo,SP,lauro de freitas,BA
24.05,tubarao,SC,caxias do sul,RS
24.04,ituiutaba,MG,claudio,MG
24.04,ituiutaba,MG,claudio,MG
24.04,cariacica,ES,sao jose do rio preto,SP
24.04,itajai,SC,diadema,SP
24.04,goiania,GO,guariba,SP
24.04,rio de janeiro,RJ,formiga,MG
24.03,canela,RS,diadema,SP
24.03,lins,SP,sao paulo,SP
24.03,rondonopolis,MT,sumare,SP
24.03,joao pessoa,PB,sao paulo,SP
24.03,rodelas,BA,sao paulo,SP
24.03,lavras,MG,uba,MG
24.03,juiz de fora,MG,sao bernardo do campo,SP
24.03,manhumirim,MG,diadema,SP
24.03,varzea paulista,SP,gama,DF
24.03,paranavai,PR,sao bernardo do campo,SP
24.03,goiania,GO,sao paulo,SP
24.03,valentim gentil,SP,sao paulo,SP
24.03,vassouras,RJ,sao carlos,SP
24.02,santos,SP,cascavel,PR
24.02,teixeira de freitas,BA,belo horizonte,MG
24.02,sao geraldo,MG,maringa,PR
24.02,juazeiro,BA,sumare,SP
24.02,celso ramos,SC,sao jose do rio preto,SP
24.02,celso ramos,SC,sao jose do rio preto,SP
24.02,celso ramos,SC,sao jose do rio preto,SP
24.02,janauba,MG,sao paulo,SP
24.02,janauba,MG,sao paulo,SP
24.02,sao paulo,SP,massaranduba,SC
24.02,taubate,SP,itaquaquecetuba,SP
24.02,taubate,SP,itaquaquecetuba,SP
24.01,paulinia,SP,s jose do rio preto,SP
24.01,paulinia,SP,s jose do rio preto,SP
24.01,uberaba,MG,sao paulo,SP
24.01,ilha solteira,SP,s jose do rio preto,SP
24.01,nova odessa,SP,s jose do rio preto,SP
24.01,nova odessa,SP,s jose do rio preto,SP
24.01,nova odessa,SP,s jose do rio preto,SP
24.01,nova odessa,SP,s jose do rio preto,SP
24.01,nova odessa,SP,s jose do rio preto,SP
24.01,araraquara,SP,s jose do rio preto,SP
24.01,celso ramos,SC,sao jose do rio preto,SP
24.01,celso ramos,SC,sao jose do rio preto,SP
24.01,celso ramos,SC,sao jose do rio preto,SP
24.01,celso ramos,SC,sao jose do rio preto,SP
24.01,celso ramos,SC,sao jose do rio preto,SP
24.01,celso ramos,SC,sao jose do rio preto,SP
24.01,celso ramos,SC,sao jose do rio preto,SP
24.01,celso ramos,SC,sao jose do rio preto,SP
24.01,celso ramos,SC,sao jose do rio preto,SP
24.01,rio de janeiro,RJ,ibitinga,SP
24.01,campinas,SP,novo hamburgo,RS
24.01,louveira,SP,s jose do rio preto,SP
24.01,rio de janeiro,RJ,sao paulo,SP
24.01,brasilia,DF,sao paulo,SP
24.01,sao paulo,SP,s jose do rio preto,SP
24.01,balneario camboriu,SC,caxias do sul,RS
24.01,porto alegre,RS,sao paulo,SP
24.01,paulista,PE,sao paulo,SP
24.01,paulista,PE,sao paulo,SP
24.01,santo andre,SP,s jose do rio preto,SP
24.01,ourinhos,SP,s jose do rio preto,SP
24.01,ourinhos,SP,s jose do rio preto,SP
24.0,belo horizonte,MG,guarulhos,SP
24.0,campos dos goytacazes,RJ,guarulhos,SP
24.0,sao luis,MA,rio verde,GO
24.0,sao luis,MA,rio verde,GO
24.0,ourizona,PR,guarulhos,SP
24.0,ilheus,BA,ibitinga,SP
24.0,salvador,BA,indaiatuba,SP
24.0,belo horizonte,MG,guarulhos,SP
24.0,rio de janeiro,RJ,itauna,MG
24.0,valenca,BA,atibaia,SP
24.0,cariacica,ES,betim,MG
24.0,brasilia,DF,santa barbara d´oeste,SP
24.0,belo horizonte,MG,maringa,PR
24.0,governador valadares,MG,guarulhos,SP
24.0,trindade do sul,RS,recife,PE
23.99,timbo,SC,salto,SP
23.99,sao jose dos campos,SP,rio de janeiro,RJ
23.99,ortigueira,PR,salto,SP
23.99,rio de janeiro,RJ,guariba,SP
23.99,sao paulo,SP,itaquaquecetuba,SP
23.99,sao paulo,SP,itaquaquecetuba,SP
23.99,ibiruba,RS,curitiba,PR
23.99,rio de janeiro,RJ,sao paulo,SP
23.99,papucaia,RJ,franca,SP
23.99,rio de janeiro,RJ,londrina,PR
23.99,para de minas,MG,salto,SP
23.99,santa rita de caldas,MG,salto,SP
23.99,campo grande,MS,salto,SP
23.99,sabara,MG,ibitinga,SP
23.99,juiz de fora,MG,salto,SP
23.99,sete lagoas,MG,foz do iguacu,PR
23.99,niteroi,RJ,salto,SP
23.99,saudades,SC,salto,SP
23.99,rio de janeiro,RJ,guariba,SP
23.99,uberaba,MG,joinville,SC
23.99,campos dos goytacazes,RJ,joinville,SC
23.99,ribeirao preto,SP,rio de janeiro,RJ
23.99,itabuna,BA,sao paulo,SP
23.99,nova lima,MG,curitiba,PR
23.99,vitoria da conquista,BA,taubate,SP
23.99,jacarezinho,PR,salto,SP
23.99,santaluz,BA,sao paulo,SP
23.99,carangola,MG,rio de janeiro,RJ
23.99,primavera do leste,MT,salto,SP
23.99,apucarana,PR,betim,MG
23.99,claudio,MG,ibitinga,SP
23.99,mage,RJ,londrina,PR
23.99,maringa,PR,salto,SP
23.99,itabira,MG,uberlandia,MG
23.98,itatim,BA,recife,PE
23.98,rio de janeiro,RJ,blumenau,SC
23.98,ilheus,BA,recife,PE
23.98,santos,SP,petropolis,RJ
23.98,miguel pereira,RJ,itaquaquecetuba,SP
23.98,guarulhos,SP,sao paulo,SP
23.98,feira de santana,BA,recife,PE
23.98,colatina,ES,recife,PE
23.98,rio de janeiro,RJ,franca,SP
23.98,campinas,SP,sao bernardo do campo,SP
23.98,penapolis,SP,joinville,SC
23.98,feira de santana,BA,recife,PE
23.98,santa ines,BA,recife,PE
23.98,porto seguro,BA,recife,PE
23.98,erechim,RS,sao bernardo do campo,SP
23.98,presidente janio quadros,BA,recife,PE
23.98,alegrete do piaui,PI,recife,PE
23.98,camacan,BA,recife,PE
23.98,belo horizonte,MG,petropolis,RJ
23.98,piritiba,BA,recife,PE
23.98,ibotirama,BA,recife,PE
23.98,timon,MA,sao paulo,SP
23.98,sao paulo,SP,araraquara,SP
23.98,eunapolis,BA,recife,PE
23.98,eunapolis,BA,recife,PE
23.98,eunapolis,BA,recife,PE
23.98,arraial do cabo,RJ,joinville,SC
23.98,sao paulo,SP,petropolis,RJ
23.98,sapezal,MT,registro,SP
23.98,vitoria da conquista,BA,recife,PE
23.98,sao paulo,SP,tubarao,SC
23.98,rio de janeiro,RJ,joinville,SC
23.98,pirapozinho,SP,araraquara,SP
23.98,itabira,MG,blumenau,SC
23.98,cariacica,ES,petropolis,RJ
23.98,ribeirao das neves,MG,londrina,PR
23.98,rio de janeiro,RJ,ribeirao preto,SP
23.98,sao jose do piaui,PI,recife,PE
23.98,paulo afonso,BA,recife,PE
23.98,bonito,BA,recife,PE
23.98,sao mateus,ES,recife,PE
23.98,itajai,SC,lagoa santa,MG
23.97,itu,SP,montenegro,RS
23.97,sapezal,MT,riberao preto,SP
23.97,florianopolis,SC,sao paulo,SP
23.97,lauro de freitas,BA,brasilia,DF
23.97,natal,RN,barueri,SP
23.97,niteroi,RJ,monte siao,MG
23.97,rio de janeiro,RJ,diadema,SP
23.97,diadema,SP,mogi guacu,SP
23.97,campo grande,MS,belo horizonte,MG
23.96,rio de janeiro,RJ,curitiba,PR
23.96,santa barbara,MG,cascavel,PR
23.96,rio de janeiro,RJ,curitiba,PR
23.96,rio de janeiro,RJ,curitiba,PR
23.96,rio de janeiro,RJ,curitiba,PR
23.96,colombo,PR,foz do iguacu,PR
23.96,sao paulo,SP,jacutinga,MG
23.96,venancio aires,RS,votuporanga,SP
23.96,porto alegre,RS,petropolis,RJ
23.96,passo fundo,RS,petropolis,RJ
23.96,rio de janeiro,RJ,curitiba,PR
23.96,rio de janeiro,RJ,cascavel,PR
23.96,londrina,PR,rio negrinho,SC
23.96,serra dos aimores,MG,guarulhos,SP
23.96,sao carlos,SP,jacutinga,MG
23.96,belem,PA,belo horizonte,MG
23.96,rio de janeiro,RJ,guarulhos,SP
23.96,belo horizonte,MG,ibitinga,SP
23.95,belo horizonte,MG,boituva,SP
23.95,belo horizonte,MG,boituva,SP
23.95,sao paulo,SP,formiga,MG
23.95,sao paulo,SP,formiga,MG
23.95,duque de caxias,RJ,joinville,SC
23.95,feira de santana,BA,sao paulo,SP
23.95,rio de janeiro,RJ,joinville,SC
23.95,belo horizonte,MG,luiz alves,SC
23.95,goiania,GO,formiga,MG
23.95,passos,MG,joinville,SC
23.95,bauru,SP,sarandi,PR
23.95,belo horizonte,MG,ibitinga,SP
23.94,maximiliano de almeida,RS,sao bernardo do campo,SP
23.94,contagem,MG,monte siao,MG
23.94,montanha,ES,presidente prudente,SP
23.94,belo horizonte,MG,sao paulo,SP
23.94,sao manuel,SP,pedreira,SP
23.94,ubatuba,SP,maringa,PR
23.93,sao paulo,SP,curitiba,PR
23.93,sao paulo,SP,curitiba,PR
23.93,aluminio,SP,pocos de caldas,MG
23.93,sao paulo,SP,belo horizonte,MG
23.93,sao paulo,SP,sao carlos,SP
23.93,sao jose dos campos,SP,sao carlos,SP
23.92,ipatinga,MG,curitiba,PR
23.92,campo grande,MS,joinville,SC
23.92,sao goncalo,RJ,joinville,SC
23.92,imperatriz,MA,ibitinga,SP
23.92,salvador,BA,piracicaba,SP
23.92,sao jose do vale do rio preto,RJ,joinville,SC
23.92,nova granada,SP,itaquaquecetuba,SP
23.92,buritis,MG,ilicinea,MG
23.92,sao paulo,SP,birigui,SP
23.92,itapecerica,MG,joinville,SC
23.92,uberlandia,MG,coxim,MS
23.92,francisco beltrao,PR,tres coracoes,MG
23.92,divinopolis,MG,joinville,SC
23.92,uberaba,MG,sao paulo,SP
23.92,niteroi,RJ,joinville,SC
23.92,patos de minas,MG,anapolis,GO
23.92,coronel fabriciano,MG,sao paulo,SP
23.92,sao lourenco,MG,joinville,SC
23.92,sao paulo,SP,joinville,SC
23.92,sao pedro da aldeia,RJ,joinville,SC
23.92,pitangui,MG,joinville,SC
23.92,nanuque,MG,joinville,SC
23.92,governador valadares,MG,sao paulo,SP
23.92,ituiutaba,MG,sao paulo,SP
23.92,bom despacho,MG,joinville,SC
23.92,bom despacho,MG,joinville,SC
23.92,bom despacho,MG,joinville,SC
23.92,bom despacho,MG,joinville,SC
23.92,bom despacho,MG,joinville,SC
23.92,rio de janeiro,RJ,joinville,SC
23.92,vereda,BA,sorocaba,SP
23.92,birigui,SP,coxim,MS
23.92,fernando prestes,SP,coxim,MS
23.91,sao paulo,SP,pinhais,PR
23.91,aguai,SP,belo horizonte,SP
23.91,aguai,SP,belo horizonte,SP
23.91,aguai,SP,belo horizonte,SP
23.91,uberlandia,MG,curitiba,PR
23.91,pouso alegre,MG,sao jose dos pinhais,PR
23.91,ibirite,MG,sao paulo,SP
23.91,iturama,MG,joinville,SC
23.91,unai,MG,santo andre,SP
23.91,monte mor,SP,joinville,SC
23.91,divinopolis,MG,sao paulo,SP
23.91,montes claros,MG,ilicinea,MG
23.91,brasilia,DF,ibitinga,SP
23.91,sao paulo,SP,itaquaquecetuba,SP
23.91,rio de janeiro,RJ,joinville,SC
23.91,sertaozinho,SP,salto,SP
23.91,nanuque,MG,ribeirao das neves,MG
23.91,lagoa santa,MG,maringa,PR
23.91,sao paulo,SP,serra negra,SP
23.91,cruz das almas,BA,santana de parnaiba,SP
23.91,igarape,MG,ilicinea,MG
23.91,balneario camboriu,SC,santo andre,SP
23.91,santo antonio do descoberto,GO,piracicaba,SP
23.91,balneario camboriu,SC,rio de janeiro,RJ
23.91,jacarei,SP,campo limpo paulista,SP
23.9,palhoca,SC,montenegro,RS
23.9,rondonopolis,MT,sao paulo,SP
23.9,osasco,SP,rio de janeiro,RJ
23.9,paulo afonso,BA,ibitinga,SP
23.9,cuiaba,MT,nova iguacu,RJ
23.9,fortaleza,CE,sao paulo,SP
23.9,montanha,ES,serra negra,SP
23.9,teresina,PI,sumare,SP
23.9,sorocaba,SP,londrina,PR
23.9,sao luis,MA,sumare,SP
23.9,sao joao de meriti,RJ,sao paulo,SP
23.9,petropolis,RJ,serra negra,SP
23.9,sao caetano do sul,SP,loanda,PR
23.9,varzea grande,MT,jacarei,SP
23.9,brasilia,DF,serra negra,SP
23.9,sao paulo,SP,rio claro,SP
23.9,ilheus,BA,penapolis,SP
23.9,balneario camboriu,SC,presidente prudente,SP
23.89,caldeirao grande,BA,sao paulo,SP
23.89,ananindeua,PA,artur nogueira,SP
23.89,sapiranga,RS,curitiba,PR
23.89,joinville,SC,rio de janeiro,RJ
23.89,barueri,SP,curitiba,PR
23.89,linhares,ES,osasco,SP
23.89,vianopolis,GO,rio de janeiro,RJ
23.89,vianopolis,GO,rio de janeiro,RJ
23.89,sao paulo,SP,sao carlos,SP
23.89,rio verde,GO,rio de janeiro,RJ
23.89,sao jose,SC,vicente de carvalho,SP
23.89,joinville,SC,rio de janeiro,RJ
23.89,joinville,SC,rio de janeiro,RJ
23.89,joinville,SC,rio de janeiro,RJ
23.89,joinville,SC,rio de janeiro,RJ
23.89,joinville,SC,rio de janeiro,RJ
23.89,recife,PE,diadema,SP
23.89,rio de janeiro,RJ,santo andre,SP
23.89,sao bento do sul,SC,rio de janeiro,RJ
23.89,pinheiro machado,RS,rio de janeiro,RJ
23.89,pelotas,RS,rio de janeiro,RJ
23.89,paranavai,PR,formiga,MG
23.88,nova odessa,SP,itatiba,SP
23.88,mogi das cruzes,SP,guarulhos,SP
23.88,criciuma,SC,petropolis,RJ
23.88,criciuma,SC,sao paulo,SP
23.88,duque de caxias,RJ,sao paulo,SP
23.88,sao paulo,SP,itaquaquecetuba,SP
23.88,indaiatuba,SP,guarulhos,SP
23.88,pindamonhangaba,SP,rio de janeiro,RJ
23.88,porto esperidiao,MT,goiania,GO
23.88,assis,SP,guarulhos,SP
23.88,itapetinga,BA,sumare,SP
23.88,salvador,BA,piracicaba,SP
23.88,sao paulo,SP,timbo,SC
23.88,salvador,BA,ibitinga,SP
23.88,teresina,PI,campinas,SP
23.88,sao paulo,SP,itatiba,SP
23.87,brasilia,DF,cajamar,SP
23.87,itacare,BA,limeira,SP
23.87,ribeirao das neves,MG,cajamar,SP
23.87,santo andre,SP,marilia,SP
23.87,uberaba,MG,sao joaquim da barra,SP
23.87,milagres,BA,ibitinga,SP
23.87,goioere,PR,brasilia,DF
23.87,peixoto de azevedo,MT,ibitinga,SP
23.87,rio de janeiro,RJ,sao joaquim da barra,SP
23.87,recife,PE,petropolis,RJ
23.86,itanhaem,SP,massaranduba,SC
23.86,itanhaem,SP,massaranduba,SC
23.86,sao jose dos campos,SP,rio de janeiro,RJ
23.86,brasilia,DF,caxias do sul,RS
23.86,sao paulo,SP,campo largo,PR
23.86,barretos,SP,curitiba,PR
23.86,venda nova do imigrante,ES,rio de janeiro,RJ
23.86,venda nova do imigrante,ES,rio de janeiro,RJ
23.86,rio de janeiro,RJ,praia grande,SP
23.85,pouso alegre,MG,ilicinea,MG
23.85,ilheus,BA,ibitinga,SP
23.85,ilheus,BA,ibitinga,SP
23.85,ipatinga,MG,ilicinea,MG
23.85,sao jose da barra,MG,ilicinea,MG
23.85,governador valadares,MG,ilicinea,MG
23.85,passos,MG,ilicinea,MG
23.85,santa vitoria,MG,maringa,PR
23.85,pirapetinga,MG,ilicinea,MG
23.85,contagem,MG,ilicinea,MG
23.85,rio de janeiro,RJ,londrina,PR
23.85,rio de janeiro,RJ,cruzeiro,SP
23.85,osasco,SP,curitiba,PR
23.85,resende,RJ,ribeirao preto,SP
23.85,uberaba,MG,ilicinea,MG
23.85,nova ubirata,MT,sao paulo,SP
23.85,irara,BA,sao paulo,SP
23.85,contagem,MG,ilicinea,MG
23.85,sao goncalo,RJ,foz do iguacu,PR
23.85,sao paulo,SP,curitiba,PR
23.85,porto alegre,RS,ibitinga,SP
23.85,mantena,MG,piracicaba,SP
23.85,mantena,MG,piracicaba,SP
23.85,petropolis,RJ,piracicaba,SP
23.85,cataguases,MG,ilicinea,MG
23.85,itaoca,ES,lagoa da prata,MG
23.85,belo horizonte,MG,piracicaba,SP
23.85,alem paraiba,MG,ilicinea,MG
23.85,belo horizonte,MG,ilicinea,MG
23.85,umburanas,BA,penapolis,SP
23.85,penha,SC,sao paulo,SP
23.85,salvador,BA,indaiatuba,SP
23.85,guaxupe,MG,maringa,PR
23.85,niteroi,RJ,maringa,PR
23.85,niteroi,RJ,maringa,PR
23.85,anchieta,ES,jacutinga,MG
23.85,caete,MG,cruzeiro,SP
23.85,arceburgo,MG,ilicinea,MG
23.85,votuporanga,SP,betim,MG
23.85,lucas do rio verde,MT,sao paulo,SP
23.85,arinos,MG,ilicinea,MG
23.85,sao jose dos campos,SP,rio de janeiro,RJ
23.85,palmas,TO,sao paulo,SP
23.85,palmas,TO,porto ferreira,SP
23.85,piumhii,MG,ilicinea,MG
23.85,jequitinhonha,MG,ilicinea,MG
23.85,luis eduardo magalhaes,BA,sao paulo,SP
23.84,munhoz,MG,ilicinea,MG
23.84,itaperuna,RJ,sao paulo,SP
23.84,queimados,RJ,novo horizonte,SP
23.84,sao paulo,SP,brasilia,DF
23.84,sao gabriel da palha,ES,novo horizonte,SP
23.84,paraopeba,MG,ilicinea,MG
23.84,tambau,SP,sao paulo,SP
23.84,olimpia,SP,jaragua do sul,SC
23.84,sao jose dos campos,SP,itaquaquecetuba,SP
23.84,rio de janeiro,RJ,londrina,PR
23.84,formosa do rio preto,BA,sao paulo,SP
23.84,osorio,RS,sao paulo,SP
23.84,jundiai,SP,joinville,SC
23.84,iturama,MG,ilicinea,MG
23.84,montes claros,MG,ilicinea,MG
23.84,brasilia,DF,porto alegre,RS
23.84,diamantino,MT,sao paulo,SP
23.84,nova lima,MG,ilicinea,MG
23.84,sao paulo,SP,itaquaquecetuba,SP
23.84,timoteo,MG,ilicinea,MG
23.84,timoteo,MG,ilicinea,MG
23.84,governador valadares,MG,ilicinea,MG
23.84,sete lagoas,MG,ilicinea,MG
23.84,itajuba,MG,ilicinea,MG
23.84,sao jose do rio preto,SP,sao paulo,SP
23.84,santos dumont,MG,cascavel,PR
23.84,carmo do cajuru,MG,ilicinea,MG
23.84,brusque,SC,baependi,MG
23.84,guimarania,MG,ilicinea,MG
23.84,vitoria,ES,borda da mata,MG
23.84,pirai do sul,PR,mogi das cruzes,SP
23.84,jequitinhonha,MG,ilicinea,MG
23.83,itabira,MG,ilicinea,MG
23.83,santo antonio do itambe,MG,ilicinea,MG
23.83,passos,MG,ilicinea,MG
23.83,taubate,SP,rio de janeiro,RJ
23.83,sao luis,MA,betim,MG
23.83,carapicuiba,SP,salvador,BA
23.83,carapicuiba,SP,salvador,BA
23.83,divinopolis,MG,ilicinea,MG
23.83,belo horizonte,MG,ilicinea,MG
23.83,pouso alegre,MG,ilicinea,MG
23.83,campo belo,MG,ilicinea,MG
23.83,porto velho,RO,rio de janeiro,RJ
23.83,varginha,MG,ilicinea,MG
23.83,ilheus,BA,sao paulo,SP
23.83,iturama,MG,ilicinea,MG
23.83,brasilia,DF,campo bom,RS
23.83,sao paulo,SP,uba,MG
23.83,paracatu,MG,ilicinea,MG
23.83,nanuque,MG,ilicinea,MG
23.83,joao pessoa,PB,sao paulo,SP
23.83,uberlandia,MG,salto,SP
23.83,timoteo,MG,ilicinea,MG
23.83,muriae,MG,ilicinea,MG
23.83,belo horizonte,MG,concordia,SC
23.82,macae,RJ,joinville,SC
23.82,juiz de fora,MG,uberlandia,MG
23.82,aguia branca,ES,sao paulo,SP
23.82,itapolis,SP,lages,SC
23.82,vitoria,ES,sao paulo,SP
23.82,sao bernardo do campo,SP,baependi,MG
23.82,belo horizonte,MG,uberlandia,MG
23.82,itapetininga,SP,campo bom,RS
23.81,rio de janeiro,RJ,blumenau,SC
23.81,sao goncalo,RJ,joinville,SC
23.81,joacaba,SC,viamao,RS
23.81,serra,ES,sao paulo,SP
23.81,barreiras,BA,patos de minas,MG
23.81,sao paulo,SP,curitiba,PR
23.81,ariranha,SP,curitiba,PR
23.81,lins,SP,curitiba,PR
23.81,xaxim,SC,patos de minas,MG
23.81,santo amaro da imperatriz,SC,lauro de freitas,BA
23.81,rio de janeiro,RJ,joinville,SC
23.81,nova iguacu,RJ,joinville,SC
23.81,aperibe,RJ,joinville,SC
23.81,rio de janeiro,RJ,joinville,SC
23.81,sorocaba,SP,curitiba,PR
23.81,senhor do bonfim,BA,patos de minas,MG
23.81,teresina,PI,guarulhos,SP
23.81,florianopolis,SC,lauro de freitas,BA
23.81,bastos,SP,curitiba,PR
23.8,piracanjuba,GO,formiga,MG
23.8,andorinha,BA,penapolis,SP
23.8,paraiba do sul,RJ,maringa,PR
23.8,guarapari,ES,ibitinga,SP
23.8,piuma,ES,cariacica,ES
23.8,piuma,ES,cariacica,ES
23.8,petropolis,RJ,campo mourao,PR
23.8,fortaleza,CE,cotia,SP
23.8,rio de janeiro,RJ,navegantes,SC
23.8,lajeado,RS,nova iguacu,RJ
23.8,mata de sao joao,BA,ibitinga,SP
23.8,videira,SC,sao bernardo do campo,SP
23.8,santana do paraiso,MG,porto alegre,RS
23.8,paraty,RJ,teixeira soares,PR
23.8,belo horizonte,MG,foz do iguacu,PR
23.8,pirapora,MG,sao leopoldo,RS
23.8,porto alegre,RS,itaquaquecetuba,SP
23.8,rio de janeiro,RJ,fazenda rio grande,PR
23.8,guaranta do norte,MT,campinas,SP
23.79,niteroi,RJ,sao paulo,SP
23.79,butia,RS,macae,RJ
23.79,rio de janeiro,RJ,lages,SC
23.79,teresina,PI,sao bernardo do campo,SP
23.79,nova canaa,BA,ibitinga,SP
23.79,salvador,BA,jundiai,SP
23.79,serra,ES,sao paulo,SP
23.79,perola,PR,mogi das cruzes,SP
23.79,juruena,MT,ibitinga,SP
23.79,goiania,GO,macae,RJ
23.79,sao paulo,SP,ibitinga,SP
23.79,salvador,BA,jundiai,SP
23.79,salvador,BA,jundiai,SP
23.79,varzea grande,MT,jundiai,SP
23.79,belo horizonte,MG,foz do iguacu,PR
23.79,belo horizonte,MG,tabatinga,SP
23.78,dourados,MS,sao paulo,SP
23.78,lencois paulista,SP,rio de janeiro,RJ
23.78,rio de janeiro,RJ,jaboticabal,SP
23.78,alagoinhas,BA,lagoa da prata,MG
23.78,muniz freire,ES,botucatu,SP
23.78,sao jose do rio preto,SP,monte siao,MG
23.78,miracema,RJ,jaragua do sul,SC
23.78,lucas do rio verde,MT,botucatu,SP
23.78,betim,MG,ilicinea,MG
23.78,marataizes,ES,lagoa da prata,MG
23.78,sao paulo,SP,monte siao,MG
23.78,bauru,SP,monte siao,MG
